anime_id,title,score,start_date,end_date,num_episodes,airing_days,airing_weeks
1043,Tokyo Babylon,6.7,1992-10-21 00:00:00,1994-03-21 00:00:00,2,516,73.7
526,Boku no Chikyuu wo Mamotte,7.2,1993-12-17 00:00:00,1994-09-23 00:00:00,6,280,40.0
3329,Izumo (2003),6.0,2003-01-25 00:00:00,2005-10-25 00:00:00,5,1004,143.4
2444,Maids in Dream,5.7,2003-07-25 00:00:00,2003-12-25 00:00:00,2,153,21.9
1939,SD Gundam Gaiden,5.7,1990-04-25 00:00:00,1991-04-21 00:00:00,4,361,51.6
9308,Oni Chichi 2,6.7,2010-10-29 00:00:00,2010-11-26 00:00:00,2,28,4.0
4488,Keraku-No-OH King of Pleasure,5.8,2002-07-18 00:00:00,2002-12-18 00:00:00,3,153,21.9
1457,Key the Metal Idol,6.9,1994-12-16 00:00:00,1997-06-18 00:00:00,15,915,130.7
6686,Chinetsu Karte: The Devilish Cherry,6.7,2009-06-26 00:00:00,2009-07-31 00:00:00,2,35,5.0
2610,Kakyuusei,5.5,1995-06-16 00:00:00,1995-11-22 00:00:00,4,159,22.7
6692,Mama Puri!?,6.8,2009-08-14 00:00:00,2009-11-13 00:00:00,2,91,13.0
23725,Strike Witches: Operation Victory Arrow,7.4,2014-12-12 00:00:00,2015-07-31 00:00:00,3,231,33.0
10043,Sailor Fuku Shinryou Tsumaka,6.1,2011-03-11 00:00:00,2011-06-10 00:00:00,2,91,13.0
8756,Bishoujo Senshi Sailor Moon Memorial,7.5,1998-08-07 00:00:00,1999-05-21 00:00:00,5,287,41.0
14047,Ikusa Otome Valkyrie G,6.5,2012-07-20 00:00:00,2012-08-24 00:00:00,2,35,5.0
4608,Yuuwaku Countdown: Akira,5.7,1997-03-28 00:00:00,1997-08-29 00:00:00,3,154,22.0
2439,Hooligan,5.6,2001-10-09 00:00:00,2002-02-08 00:00:00,2,122,17.4
30269,Momoiro Milk,6.4,2015-05-22 00:00:00,2015-08-07 00:00:00,2,77,11.0
1403,Tsumamigui,6.4,2003-06-27 00:00:00,2003-11-28 00:00:00,2,154,22.0
2435,Choubatsu Yobikou,5.9,2004-02-13 00:00:00,2004-05-07 00:00:00,2,84,12.0
8457,Yozakura Quartet: Hoshi no Umi,7.4,2010-10-08 00:00:00,2011-11-09 00:00:00,3,397,56.7
6531,Kimihagu,6.7,2009-05-25 00:00:00,2009-08-25 00:00:00,2,92,13.1
27413,Shinkyoku no Grimoire The Animation,6.9,2014-11-28 00:00:00,2015-12-25 00:00:00,2,392,56.0
1183,Variable Geo,5.6,1996-11-29 00:00:00,1997-06-27 00:00:00,3,210,30.0
23319,"Suisei no Gargantia: Meguru Kouro, Haruka",7.4,2014-09-27 00:00:00,2015-04-04 00:00:00,2,189,27.0
12061,Injuu Seisen XX,5.1,1997-06-13 00:00:00,1997-09-12 00:00:00,4,91,13.0
3941,Rensa Byoutou,6.8,2007-06-25 00:00:00,2007-09-25 00:00:00,2,92,13.1
3795,Hana to Hebi The Animation,5.9,2006-07-21 00:00:00,2006-09-22 00:00:00,3,63,9.0
1510,Imouto de Ikou!,6.3,2003-06-26 00:00:00,2003-09-25 00:00:00,2,91,13.0
13851,To LOVE-Ru Darkness OVA,7.6,2012-08-17 00:00:00,2015-04-03 00:00:00,6,959,137.0
7762,"Yondemasu yo, Azazel-san.",7.6,2010-02-23 00:00:00,2014-06-23 00:00:00,4,1581,225.9
11749,Oshioki: Gakuen Reijou Kousei Keikaku,6.4,2011-11-18 00:00:00,2012-06-15 00:00:00,3,210,30.0
2590,Genmukan,6.4,2003-03-21 00:00:00,2003-05-22 00:00:00,2,62,8.9
5686,Himekishi Angelica,6.3,2008-01-25 00:00:00,2008-07-25 00:00:00,2,182,26.0
2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.8,1992-07-23 00:00:00,1998-01-25 00:00:00,7,2012,287.4
3636,Warau Kangofu The Animation,6.8,2007-10-26 00:00:00,2008-01-25 00:00:00,2,91,13.0
9939,Kunoichi Sakuya,5.9,2011-02-18 00:00:00,2011-08-19 00:00:00,2,182,26.0
2275,Saishuu Chikan Densha,6.4,2002-09-25 00:00:00,2003-02-25 00:00:00,3,153,21.9
1779,Bakunyuu Shimai,6.2,2005-04-08 00:00:00,2005-07-08 00:00:00,2,91,13.0
1398,Macross Dynamite 7,6.9,1997-12-18 00:00:00,1998-08-25 00:00:00,4,250,35.7
213,Pia Carrot e Youkoso!!,6.0,1997-10-24 00:00:00,1998-04-24 00:00:00,3,182,26.0
2140,Aniyome,6.4,2004-10-08 00:00:00,2005-01-14 00:00:00,2,98,14.0
17541,Kotowari: Kimi no Kokoro no Koboreta Kakera,6.6,2013-03-29 00:00:00,2013-05-31 00:00:00,2,63,9.0
8078,Kure-nai OVA,6.8,2010-07-02 00:00:00,2010-12-03 00:00:00,2,154,22.0
6050,Mahou Sensei Negima!: Mou Hitotsu no Sekai,7.6,2009-09-17 00:00:00,2010-08-17 00:00:00,4,334,47.7
5306,Tales of Symphonia The Animation: Tethe'alla-hen,7.5,2010-03-25 00:00:00,2011-02-25 00:00:00,4,337,48.1
38330,Kimi Omou Koi,7.3,2018-12-21 00:00:00,2019-04-05 00:00:00,2,105,15.0
1952,Vampire Hunter,6.6,1997-03-21 00:00:00,1998-03-27 00:00:00,4,371,53.0
1357,Shin Hokuto no Ken,7.0,2003-07-24 00:00:00,2004-05-28 00:00:00,3,309,44.1
9718,Gitai Saimin,6.0,2011-01-14 00:00:00,2011-04-20 00:00:00,2,96,13.7
4820,Be-yond,5.4,1998-02-27 00:00:00,1998-05-29 00:00:00,2,91,13.0
7583,Valkyrie Choukyou Semen Tank no Ikusa Otome 10-nin Shimai,6.4,2009-12-21 00:00:00,2010-03-26 00:00:00,2,95,13.6
23047,Tennen Koi-iro Alcohol,6.9,2014-05-30 00:00:00,2014-09-12 00:00:00,2,105,15.0
2373,Mugen no Kyoukai,5.5,2000-10-28 00:00:00,2001-07-18 00:00:00,4,263,37.6
2957,Okusama wa Mahoutsukai,5.8,2006-12-08 00:00:00,2007-03-09 00:00:00,2,91,13.0
2443,Kara no Naka no Kotori,5.3,1998-09-24 00:00:00,2000-03-29 00:00:00,5,552,78.9
8876,Koe de Oshigoto! The Animation,6.9,2010-11-17 00:00:00,2011-05-11 00:00:00,2,175,25.0
6235,Immoral,6.2,2005-04-29 00:00:00,2005-08-26 00:00:00,2,119,17.0
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,7.7,2017-02-25 00:00:00,2019-03-01 00:00:00,26,734,104.9
24317,Love Colon,6.6,2014-07-25 00:00:00,2014-11-07 00:00:00,2,105,15.0
40658,** Kouhai,7.3,2020-01-31 00:00:00,2022-05-27 00:00:00,6,847,121.0
3580,Ijoku,5.6,2006-07-14 00:00:00,2006-11-10 00:00:00,2,119,17.0
5281,Hissatsu Chikan Nin,6.2,2008-09-12 00:00:00,2008-12-12 00:00:00,2,91,13.0
